product_number,name,L_star,a_star,b_star,R_400,R_410,R_420,R_430,R_440,R_450,R_460,R_470,R_480,R_490,R_500,R_510,R_520,R_530,R_540,R_550,R_560,R_570,R_580,R_590,R_600,R_610,R_620,R_630,R_640,R_650,R_660,R_670,R_680,R_690,R_700,KS_400,KS_410,KS_420,KS_430,KS_440,KS_450,KS_460,KS_470,KS_480,KS_490,KS_500,KS_510,KS_520,KS_530,KS_540,KS_550,KS_560,KS_570,KS_580,KS_590,KS_600,KS_610,KS_620,KS_630,KS_640,KS_650,KS_660,KS_670,KS_680,KS_690,KS_700
1250,Perm Green Light,45.6531,-50.6616,20.9782,5.2,5.21,5.27,5.28,5.38,5.34,5.46,6.59,13.66,24.33,32.04,32.9,29.22,24.4,19.48,14.92,11.27,8.76,7.03,5.85,5.19,4.87,4.81,4.8,4.8,4.83,4.98,5.13,5.31,5.43,5.53,8.6414,8.623,8.514,8.4961,8.3206,8.39,8.1848,6.6202,2.7286,1.1767,0.7207,0.6843,0.8573,1.1712,1.6641,2.4258,3.4929,4.7516,6.1475,7.5763,8.6599,9.2913,9.4191,9.4407,9.4407,9.3761,9.0651,8.7722,8.4427,8.2353,8.0692
1252,Permanent Maroon,26.7891,5.2215,0.0304,5.5,5.31,5.18,5.09,5.09,5.02,5.02,4.9,4.85,4.8,4.68,4.63,4.57,4.55,4.54,4.53,4.57,4.69,4.95,5.58,6.5,6.8,6.54,6.17,5.89,5.69,5.63,5.63,5.68,5.83,6.05,8.1184,8.4427,8.6784,8.8486,8.8486,8.9853,8.9853,9.2286,9.3335,9.4407,9.7072,9.8223,9.9638,10.0118,10.0359,10.0602,9.9638,9.6844,9.1258,7.9885,6.7248,6.3869,6.678,7.1346,7.5184,7.8158,7.9091,7.9091,7.8312,7.6055,7.2947
1253,Permanent Violet Dark,26.6158,7.8443,-5.9845,8.42,8.52,8.11,7.58,6.89,6.16,5.68,5.26,4.96,4.76,4.56,4.49,4.39,4.35,4.43,4.47,4.52,4.7,5.06,5.52,5.92,6.1,6.15,6.14,6.15,6.22,6.33,6.36,6.44,6.61,6.9,4.9803,4.9111,5.2058,5.6342,6.2913,7.1477,7.8312,8.532,9.1054,9.528,9.9877,10.1583,10.4115,10.516,10.3088,10.208,10.0845,9.6618,8.9067,8.0856,7.4755,7.2272,7.1608,7.174,7.1608,7.0697,6.9305,6.8934,6.7962,6.5973,6.2809
1255,Phthalo Blue GS,25.1072,8.8397,-19.7548,7.44,8.14,8.12,8.34,10.02,11.32,10.69,9.13,7.28,5.81,4.74,4.22,3.96,3.85,3.83,3.79,3.75,3.78,3.85,3.94,4.08,4.25,4.45,4.63,4.75,4.85,4.89,4.8,4.76,4.75,4.91,5.7576,5.1832,5.1982,5.0369,4.0401,3.4736,3.7307,4.5221,5.9045,7.6349,9.5722,10.8694,11.6461,12.0063,12.074,12.2116,12.3521,12.2464,12.0063,11.7101,11.2753,10.786,10.2582,9.8223,9.5501,9.3335,9.2494,9.4407,9.528,9.5501,9.2078
1260,Phthalo Blue RS,23.9945,4.9572,-10.1374,5.7,5.91,5.86,5.8,6.23,6.85,7.05,6.31,5.26,4.52,4.07,3.94,3.86,3.8,3.78,3.72,3.72,3.8,3.88,3.97,4.06,4.18,4.32,4.43,4.46,4.41,4.39,4.28,4.25,4.29,4.41,7.8004,7.4898,7.5617,7.6497,7.0568,6.3335,6.1274,6.9555,8.532,10.0845,11.3054,11.7101,11.9727,12.1769,12.2464,12.4595,12.4595,12.1769,11.906,11.6143,11.3356,10.9826,10.5957,10.3088,10.2331,10.3599,10.4115,10.7036,10.786,10.6765,10.3599
1270,Phthalo Green BS,26.6774,-6.899,-4.7101,5.11,5.13,5.18,5.27,5.38,5.48,5.96,6.67,7.87,8.81,8.51,7.34,5.95,4.95,4.38,4.06,3.92,3.86,3.83,3.86,3.92,4.05,4.24,4.37,4.49,4.64,4.88,4.97,5.04,5.03,5.01,8.8103,8.7722,8.6784,8.514,8.3206,8.1515,7.4191,6.5296,5.3926,4.7194,4.918,5.8487,7.4331,9.1258,10.4374,11.3356,11.7747,11.9727,12.074,11.9727,11.7747,11.3659,10.8137,10.4635,10.1583,9.7991,9.2703,9.0852,8.9458,8.9655,9.0051
1275,Phthalo Green YS,27.7313,-12.4119,0.5875,4.68,4.68,4.7,4.76,4.87,4.88,5.1,5.43,6.12,6.97,8.03,8.67,8.14,6.97,5.72,4.72,4.2,3.98,3.88,3.83,3.84,3.81,3.85,3.9,3.95,4.04,4.24,4.35,4.45,4.52,4.6,9.7072,9.7072,9.6618,9.528,9.2913,9.2703,8.8294,8.2353,7.2005,6.2085,5.2668,4.8104,5.1832,6.2085,7.7699,9.6168,10.9258,11.5827,11.906,12.074,12.04,12.1424,12.0063,11.84,11.678,11.3964,10.8137,10.516,10.2582,10.0845,9.8926
1460,Prussian Blue Hue,24.1217,1.9194,-3.0889,5.23,5.18,5.04,4.89,4.89,4.77,4.65,4.51,4.38,4.31,4.17,4.15,4.12,4.05,4.01,3.94,3.94,4.02,4.08,4.12,4.18,4.24,4.34,4.43,4.45,4.45,4.44,4.32,4.28,4.3,4.38,8.5864,8.6784,8.9458,9.2494,9.2494,9.506,9.7759,10.109,10.4374,10.6225,11.0113,11.0689,11.1565,11.3659,11.4889,11.7101,11.7101,11.4579,11.2753,11.1565,10.9826,10.8137,10.5424,10.3088,10.2582,10.2582,10.2835,10.5957,10.7036,10.6494,10.4374
1276,Pyrrole Orange,56.1903,60.8562,54.2233,4.26,4.17,4.15,4.19,4.27,4.31,4.37,4.37,4.57,4.7,4.53,4.37,4.49,4.79,4.79,5.03,8.74,19.04,35.03,52.41,68.44,80.48,86.28,88.15,89.06,90.06,90.67,90.96,90.95,91.0,91.12,10.7584,11.0113,11.0689,10.9541,10.731,10.6225,10.4635,10.4635,9.9638,9.6618,10.0602,10.4635,10.1583,9.4624,9.4624,8.9655,4.7645,1.7213,0.6025,0.2161,0.0728,0.0237,0.0109,0.008,0.0067,0.0055,0.0048,0.0045,0.0045,0.0045,0.0043
1277,Pyrrole Red,42.4217,55.2668,31.8041,4.14,4.05,4.01,4.05,4.09,4.07,4.15,4.11,4.1,4.15,4.12,4.19,4.16,4.08,4.14,4.27,4.51,4.55,4.92,12.24,28.62,45.2,58.61,68.97,75.72,79.66,82.01,83.84,85.41,86.74,87.86,11.098,11.3659,11.4889,11.3659,11.2454,11.3054,11.0689,11.186,11.2156,11.0689,11.1565,10.9541,11.04,11.2753,11.098,10.731,10.109,10.0118,9.1872,3.1462,0.8901,0.3322,0.1461,0.0698,0.0389,0.026,0.0197,0.0156,0.0125,0.0101,0.0084
